Topic ID,Topic,
1,Introduction and Linguistics,
2,"Language Modeling, Syntax, Parsing",
3,Semantics and Logic,
4,"Pragmatics, Discourse, Dialogue, Applications",
5,Classification,
6,Information Retrieval and Topic Modeling,
7,Neural Networks and Deep Learning,
8,Artificial Intelligence,
9,Other Topics,
11,Introduction to NLP,
12,Mathematics,
13,Resources,
14,Language and Linguistics,
15,NLP Tasks,
16,Theory of Computation,
17,Data Structures and Algorithms,
18,Mathematical Models,
19,New,
21,Language Modeling,
22,Hidden Markov Models,
23,Part of Speech Tagging,
24,Syntax,
25,Parsing,
26,Alternative Syntactic Formalisms,
27,NACLO Problems,
31,Lexical Semantics,
32,Compositional Semantics,
33,Semantic Analysis,
34,Dimensionality Reduction,
35,More Semantics,
36,Word Sense Disambiguation,
38,Sentiment,
41,Question Answering,
42,Summarization,
43,Text Generation,
44,Discourse and Dialogue,
45,Machine Translation,
46,"Style, Genre, and Authorship",
51,Introduction to Classification,
52,Kernel Methods,
54,Text Classification and Feature Selection,
55,Decision Trees,
57,Unsupervised Learning,
58,Semi-supervised Learning,
61,Information Retrieval,
62,Document Ranking,
63,Latent Models,
64,Network Analysis,
65,Crosslingual IR,
71,Deep Learning,
72,Word Embeddings,
73,Deep Learning Tools,
74,Neural Architectures,
75,Applications of Neural Networks,
81,Introduction to Artificial Intelligence,
82,Search,
83,Logic and Reasoning,
84,Uncertainty,
85,Learning,
86,Cognition and Perception,
87,Robotics and Autonomous Cars,
91,Current Research,
92,Speech Processing,
93,Ethics,
94,Applications to Other Domains,
95,Additional Topics,
96,More Topics,
99,Miscellaneous Topics,
101,Prerequisite Mathematics,
102,Statistics and Probability,
103,Linguistics,
104,Data Structures and Computer Science,
105,Programming,
106,Theory of Computation and Grammars,
107,Machine Learning,
111,Class Logistics,
112,Introduction,
113,History of NLP,
114,Why is NLP Hard?,
115,Methods used in NLP,
121,Linear Algebra,
123,Probabilities,
125,Bayes Theorem,
126,Calculus for NLP,
127,Optimization,
128,Descriptive Statistics,
129,Information Theory,
131,Python,
132,NLTK,
133,NLP Resources,
134,Machine Learning Resources,
135,Other programming languages,
141,Linguistics,
142,Parts of Speech,
143,Morphology + Lexicon,
144,Word Distributions,
151,NLP Tasks,
153,Preprocessing,
154,Working with Corpora,
155,Spelling Correction,
156,Grammar Correction,
161,Regular Expressions,
162,Finite State Machines,
163,Finite State Transducers,
165,CFG,
166,Language and Complexity,
167,CSG,
171,Data Structures and Algorithms,
172,Graph Theory,
173,Relational Databases,
181,Integer Linear Programming,
182,Spectral Methods,
183,Dual Decomposition,
184,Monte Carlo Methods,
185,Physics methods,
186,Bioinformatics Methods,
187,Optimization,
191,Using GPUs,
192,Model persistence and checkpoints,
211,Intro to Language Modeling,
212,Smoothing and Interpolation,
