ID	Instructor	Title	Topic	URL	Venue	Year
0	Dragomir Radev	NLP Resources	133	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/133.pptx	Yale	2018
1	Dragomir Radev	Syntax-based Machine Translation	241	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/455.pptx	Yale	2018
2	Dragomir Radev	Generative and Discriminative Models 1	514	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/513.pptx	Yale	2018
3	Dragomir Radev	Tools for Deep Learning	731	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/731.pptx	Yale	2018
4	Dragomir Radev	Python Basics	131	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/131.pptx	Yale	2018
5	Dragomir Radev	Social Network Extraction	236	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/976.pptx	Yale	2018
6	Dragomir Radev	Inference	364	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/364.pptx	Yale	2018
7	Dragomir Radev	Clustering 1	521	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/571.pptx	Yale	2018
8	Dragomir Radev	Prepositional Phrase Attachment 2	456	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/283.pptx	Yale	2018
9	Dragomir Radev	Long Short Term Memory Networks	742	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/742.pptx	Yale	2018
10	Dragomir Radev	Class Logistics	111	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/111.pptx	Yale	2018
11	Dragomir Radev	Smoothing and Interpolation	212	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/212.pptx	Yale	2018
12	Dragomir Radev	Wordnet	315	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/315.pptx	Yale	2018
13	Dragomir Radev	Question Answering Basics	411	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/411.pptx	Yale	2018
14	Dragomir Radev	Examples of Text Classification	511	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/542.pptx	Yale	2018
15	Dragomir Radev	Features and Unification	262	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/262.pptx	Yale	2018
16	Dragomir Radev	Morphology and Semantics in Machine Translation	457	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/457.pptx	Yale	2018
17	Dragomir Radev	Sentence Simplification	426	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/426.pptx	Yale	2018
18	Dragomir Radev	Introduction to Hidden Markov Models	112	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/221.pptx	Yale	2018
19	Dragomir Radev	Semi Supervised Retrieval, Pagerank	624	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/624.pptx	Yale	2018
20	Dragomir Radev	NLP Tasks 2	151	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/152.pptx	Yale	2018
21	Dragomir Radev	Preprocessing	153	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/153.pptx	Yale	2018
22	Dragomir Radev	Machine Translation Techniques	452	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/452.pptx	Yale	2018
23	Dragomir Radev	Discourse Parsing	443	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/443.pptx	Yale	2018
24	Dragomir Radev	Regular Expressions	161	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/161.pptx	Yale	2018
25	Dragomir Radev	Why is NLP Hard?	114	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/114.pptx	Yale	2018
26	Dragomir Radev	Classic Parsing Methods	243	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/243.pptx	Yale	2018
27	Dragomir Radev	Neural Question Answering	411	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/755.pptx	Yale	2018
28	Dragomir Radev	QA Architecture and QA Systems 1	411	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/413.pptx	Yale	2018
29	Dragomir Radev	Noisy Channel Methods for Machine Translation	453	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/453.pptx	Yale	2018
30	Dragomir Radev	Linguistics Basics	103	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/141.pptx	Yale	2018
31	Dragomir Radev	Introduction to Support Vector Machines and Kernels	112	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/521.pptx	Yale	2018
32	Dragomir Radev	Semantic Similarity	314	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/314.pptx	Yale	2018
33	Dragomir Radev	Text Kernels	342	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/342.pptx	Yale	2018
34	Dragomir Radev	Finite State Transducers	163	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/163.pptx	Yale	2018
35	Dragomir Radev	Parsing and Context-Free Grammars	256	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/242.pptx	Yale	2018
36	Dragomir Radev	Natural Language Generation Systems	431	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/432.pptx	Yale	2018
37	Dragomir Radev	NLP Tasks 1	151	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/151.pptx	Yale	2018
38	Dragomir Radev	SyntaxNet	241	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/911.pptx	Yale	2018
39	Dragomir Radev	Coherence and Prosody	926	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/442.pptx	Yale	2018
40	Dragomir Radev	Word Distributions	144	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/144.pptx	Yale	2018
41	Dragomir Radev	Search Engine Architecture	612	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/612.pptx	Yale	2018
42	Dragomir Radev	Parsing Evaluation	247	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/247.pptx	Yale	2018
43	Dragomir Radev	Recursive Neural Networks	743	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/743.pptx	Yale	2018
44	Dragomir Radev	Semantic Role Labeling	367	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/367.pptx	Yale	2018
45	Dragomir Radev	Methods used in NLP	115	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/115.pptx	Yale	2018
46	Dragomir Radev	Evaluation of Language Modeling	213	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/213.pptx	Yale	2018
47	Dragomir Radev	Phrase Based Machine Translation, Evaluation	456	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/456.pptx	Yale	2018
48	Dragomir Radev	Summarization Evaluation	425	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/425.pptx	Yale	2018
49	Dragomir Radev	Introduction to Word Sense Disambiguation	112	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/391.pptx	Yale	2018
50	Dragomir Radev	Practical Considerations of Classification	511	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/545.pptx	Yale	2018
51	Dragomir Radev	Sentiment Analysis	381	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/381.pptx	Yale	2018
52	Dragomir Radev	Bayes Theorem	125	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/125.pptx	Yale	2018
53	Dragomir Radev	Query Modification	622	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/622.pptx	Yale	2018
54	Dragomir Radev	Unlexicalized Parsing	253	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/254.pptx	Yale	2018
55	Dragomir Radev	Evaluation of Question Answering	411	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/412.pptx	Yale	2018
56	Dragomir Radev	QA Architecture and QA Systems 2	411	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/414.pptx	Yale	2018
57	Dragomir Radev	Collocations	352	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/352.pptx	Yale	2018
58	Dragomir Radev	Morphology and Lexicon	142	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/143.pptx	Yale	2018
59	Dragomir Radev	Introduction to Information Retrieval	112	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/611.pptx	Yale	2018
60	Dragomir Radev	Introduction to Language Modeling	112	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/211.pptx	Yale	2018
61	Dragomir Radev	Probabilities 2	123	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/124.pptx	Yale	2018
62	Dragomir Radev	Summarization 4	421	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/424.pptx	Yale	2018
63	Dragomir Radev	Lexicalized Parsing	253	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/253.pptx	Yale	2018
64	Dragomir Radev	Edit Distance	313	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/313.pptx	Yale	2018
65	Dragomir Radev	Neural Architectures, Training Neural Networks	712	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/712.pptx	Yale	2018
66	Dragomir Radev	Prepositional Phrase Attachment 3	456	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/284.pptx	Yale	2018
67	Dragomir Radev	The Noisy Channel	214	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/214.pptx	Yale	2018
68	Dragomir Radev	Natural Language Generation Basics	431	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/431.pptx	Yale	2018
69	Dragomir Radev	Introduction to Dimensionality Reduction	112	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/341.pptx	Yale	2018
70	Dragomir Radev	Summarization 1	421	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/421.pptx	Yale	2018
71	Dragomir Radev	Language and Complexity	166	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/166.pptx	Yale	2018
72	Dragomir Radev	Stemming	312	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/312.pptx	Yale	2018
73	Dragomir Radev	Machine Translation Basics	451	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/451.pptx	Yale	2018
74	Dragomir Radev	Introduction to Part of Speech Tagging	112	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/215.pptx	Yale	2018
75	Dragomir Radev	Neural Summarization	754	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/754.pptx	Yale	2018
76	Dragomir Radev	Dialogue Systems	444	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/445.pptx	Yale	2018
77	Dragomir Radev	Dialogue	444	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/444.pptx	Yale	2018
78	Dragomir Radev	Random Walks and Harmonic Functions	623	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/623.pptx	Yale	2018
79	Dragomir Radev	Entailment and Paraphrasing	351	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/351.pptx	Yale	2018
80	Dragomir Radev	Sentiment Lexicons	382	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/382.pptx	Yale	2018
81	Dragomir Radev	NACLO Problems on Parsing	271	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/271.pptx	Yale	2018
82	Dragomir Radev	Classification and kNN 1	511	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/511.pptx	Yale	2018
83	Dragomir Radev	Toolkits for Information Retrieval	614	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/614.pptx	Yale	2018
84	Dragomir Radev	Neural Machine Translation	753	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/753.pptx	Yale	2018
85	Dragomir Radev	Penn Treebank	256	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/246.pptx	Yale	2018
86	Dragomir Radev	Summarization 3	421	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/423.pptx	Yale	2018
87	Dragomir Radev	Thesaurus-based Similarity	316	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/316.pptx	Yale	2018
88	Dragomir Radev	Evaluation of Information Retrieval	613	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/613.pptx	Yale	2018
89	Dragomir Radev	Alternative Syntactic Formalisms	261	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/261.pptx	Yale	2018
90	Dragomir Radev	Logistic Regression 1	512	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/516.pptx	Yale	2018
91	Dragomir Radev	Discourse Analysis	441	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/441.pptx	Yale	2018
92	Dragomir Radev	Information Extraction and Named Entity Recognition	232	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/232.pptx	Yale	2018
93	Dragomir Radev	Miscellaneous Projects	913	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/921.pptx	Yale	2018
94	Dragomir Radev	Introduction to Semantics and Logic	112	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/361.pptx	Yale	2018
95	Dragomir Radev	Prepositional Phrase Attachment 1	456	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/282.pptx	Yale	2018
96	Dragomir Radev	Relation Extraction	233	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/233.pptx	Yale	2018
97	Dragomir Radev	Linear Algebra 2	121	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/122.pptx	Yale	2018
98	Dragomir Radev	Convolutional Neural Networks	744	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/744.pptx	Yale	2018
99	Dragomir Radev	Vector Representations	321	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/321.pptx	Yale	2018
100	Dragomir Radev	Knowledge Representation	363	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/363.pptx	Yale	2018
101	Dragomir Radev	Parts of Speech	142	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/142.pptx	Yale	2018
102	Dragomir Radev	Neural Generation, Dialogue Systems	431	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/756.pptx	Yale	2018
103	Dragomir Radev	Statistical Parsing	252	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/252.pptx	Yale	2018
104	Dragomir Radev	Neural Parsing	752	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/752.pptx	Yale	2018
105	Dragomir Radev	Summarization 2	421	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/422.pptx	Yale	2018
106	Dragomir Radev	Introduction to Neural Networks and Deep Learning	112	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/711.pptx	Yale	2018
107	Dragomir Radev	Tree Adjoining Grammar	263	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/263.pptx	Yale	2018
108	Dragomir Radev	The IBM Models	454	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/454.pptx	Yale	2018
109	Dragomir Radev	Recurrent Neural Networks	741	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/741.pptx	Yale	2018
110	Dragomir Radev	Learning for Hidden Markov Models	222	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/222.pptx	Yale	2018
111	Dragomir Radev	Perceptron	515	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/515.pptx	Yale	2018
112	Dragomir Radev	First Order Logic	362	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/362.pptx	Yale	2018
113	Dragomir Radev	NN Sequence Parsing	259	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/281.pptx	Yale	2018
114	Dragomir Radev	Dependency Syntax	241	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/255.pptx	Yale	2018
115	Dragomir Radev	Classification and kNN 2	511	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/512.pptx	Yale	2018
116	Dragomir Radev	Evaluation of Dependency Parsing	258	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/258.pptx	Yale	2018
117	Dragomir Radev	Earley Parsing	245	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/245.pptx	Yale	2018
118	Dragomir Radev	Semantic Parsing	331	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/365.pptx	Yale	2018
119	Dragomir Radev	Word Embeddings	721	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/721.pptx	Yale	2018
120	Dragomir Radev	Transition-based Dependency Parsing	257	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/257.pptx	Yale	2018
121	Dragomir Radev	NLTK	132	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/132.pptx	Yale	2018
122	Dragomir Radev	Combinatory Categorial Grammar	264	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/264.pptx	Yale	2018
123	Dragomir Radev	Vector Semantics	322	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/322.pptx	Yale	2018
124	Dragomir Radev	History of NLP	113	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/113.pptx	Yale	2018
125	Dragomir Radev	Introduction to Dependency Parsing	112	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/256.pptx	Yale	2018
126	Dragomir Radev	Probabilities 1	123	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/123.pptx	Yale	2018
127	Dragomir Radev	Machine Learning Resources	107	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/134.pptx	Yale	2018
128	Dragomir Radev	CKY Parsing	244	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/244.pptx	Yale	2018
129	Dragomir Radev	Text Similarity Intro	311	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/311.pptx	Yale	2018
130	Dragomir Radev	Introduction	112	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/112.pptx	Yale	2018
131	Dragomir Radev	Feature Selection	543	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/543.pptx	Yale	2018
132	Dragomir Radev	Probabilistic Grammars	251	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/251.pptx	Yale	2018
133	Dragomir Radev	Natural Language Generation: Features and Unification	262	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/433.pptx	Yale	2018
134	Dragomir Radev	Syntax Basics	241	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/241.pptx	Yale	2018
135	Dragomir Radev	Evaluation of Text Classification	511	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/544.pptx	Yale	2018
136	Dragomir Radev	Statistical Part of Speech Tagging	231	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/231.pptx	Yale	2018
137	George Konidaris	Planning	451	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_11.pdf	Duke	2016
138	George Konidaris	First-Order Logic	362	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_6.pdf	Duke	2016
139	George Konidaris	Machine Learning	107	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_14.pdf	Duke	2016
140	George Konidaris	Uncertainty	841	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_7.pdf	Duke	2016
141	George Konidaris	Unsupervised Learning	112	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_16.pdf	Duke	2016
142	George Konidaris	Introduction to Artificial Intelligence	112	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_1.pdf	Duke	2016
143	George Konidaris	Informed Search	822	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_3.pdf	Duke	2016
144	George Konidaris	Hidden Markov Models	221	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_10.pdf	Duke	2016
145	George Konidaris	GameTheory	825	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/game_theory.pdf	Duke	2016
146	George Konidaris	Search	612	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_2.pdf	Duke	2016
147	George Konidaris	Philosophical, Social, and Ethical Issues	941	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_18.pdf	Duke	2016
148	George Konidaris	Bayesian Networks II	842	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_9.pdf	Duke	2016
149	George Konidaris	Robot Motion Planning	871	https://www2.cs.duke.edu/courses/spring16/compsci270/slides/270_13.pdf	Duke	2016
