1	NLP Resources	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/133.pptx	1065	2018	Dragomir Radev	nlp	Yale
2	Syntax-based Machine Translation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/455.pptx	1147	2018	Dragomir Radev	nlp	Yale
3	Generative and Discriminative Models 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/513.pptx	1155	2018	Dragomir Radev	nlp	Yale
4	Tools for Deep Learning	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/731.pptx	1189	2018	Dragomir Radev	nlp	Yale
5	Python Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/131.pptx	1063	2018	Dragomir Radev	nlp	Yale
6	Social Network Extraction	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/976.pptx	1546	2018	Dragomir Radev	nlp	Yale
7	Inference	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/364.pptx	1217	2018	Dragomir Radev	nlp	Yale
8	Clustering 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/571.pptx	1167	2018	Dragomir Radev	nlp	Yale
9	Prepositional Phrase Attachment 2	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/283.pptx	1536	2018	Dragomir Radev	nlp	Yale
10	Long Short Term Memory Networks	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/742.pptx	1191	2018	Dragomir Radev	nlp	Yale
11	Class Logistics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/111.pptx	1580	2018	Dragomir Radev	nlp	Yale
12	Smoothing and Interpolation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/212.pptx	1082	2018	Dragomir Radev	nlp	Yale
13	Wordnet	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/315.pptx	1112	2018	Dragomir Radev	nlp	Yale
14	Question Answering Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/411.pptx	1125	2018	Dragomir Radev	nlp	Yale
15	Examples of Text Classification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/542.pptx	1162	2018	Dragomir Radev	nlp	Yale
16	Features and Unification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/262.pptx	1102	2018	Dragomir Radev	nlp	Yale
17	Morphology and Semantics in Machine Translation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/457.pptx	1149	2018	Dragomir Radev	nlp	Yale
18	Sentence Simplification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/426.pptx	1134	2018	Dragomir Radev	nlp	Yale
19	Introduction to Hidden Markov Models	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/221.pptx	1086	2018	Dragomir Radev	nlp	Yale
20	Semi Supervised Retrieval, Pagerank	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/624.pptx	1176	2018	Dragomir Radev	ir	Yale
21	NLP Tasks 2	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/152.pptx	1072	2018	Dragomir Radev	nlp	Yale
22	Preprocessing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/153.pptx	1073	2018	Dragomir Radev	nlp	Yale
23	Machine Translation Techniques	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/452.pptx	1144	2018	Dragomir Radev	nlp	Yale
24	Discourse Parsing	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/443.pptx	1140	2018	Dragomir Radev	nlp	Yale
25	Regular Expressions	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/161.pptx	1074	2018	Dragomir Radev	nlp	Yale
26	Why is NLP Hard?	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/114.pptx	1054	2018	Dragomir Radev	nlp	Yale
27	Classic Parsing Methods	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/243.pptx	1094	2018	Dragomir Radev	nlp	Yale
28	Neural Question Answering	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/755.pptx	1199	2018	Dragomir Radev	nlp	Yale
29	QA Architecture and QA Systems 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/413.pptx	1127	2018	Dragomir Radev	nlp	Yale
30	Noisy Channel Methods for Machine Translation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/453.pptx	1145	2018	Dragomir Radev	nlp	Yale
31	Linguistics Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/141.pptx	1067	2018	Dragomir Radev	nlp	Yale
32	Introduction to Support Vector Machines and Kernels	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/521.pptx	1161	2018	Dragomir Radev	nlp	Yale
33	Semantic Similarity	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/314.pptx	1111	2018	Dragomir Radev	nlp	Yale
34	Text Kernels	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/342.pptx	1581	2018	Dragomir Radev	nlp	Yale
35	Finite State Transducers	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/163.pptx	1076	2018	Dragomir Radev	nlp	Yale
36	Parsing and Context-Free Grammars	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/242.pptx	1093	2018	Dragomir Radev	nlp	Yale
