ID	Title	URL	Topic	Year	Instructor	Path	Venue
0	Combinatory Categorial Grammar (CCG)	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/Combinatory%20Categorial%20Grammar%20(CCG).pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/Combinatory Categorial Grammar (CCG).pdf	Carnegie Mellon University
1	Computational Discourse	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/Computational%20Discourse%20F17.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/Computational Discourse F17.pdf	Carnegie Mellon University
2	Latent Models for Word Alignments without Magics	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/em_note.pdf	1201	2017	Hieu Pham	./11711fa17/em_note.pdf	Carnegie Mellon University
3	Parsing II	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%2010%20--%20parsing%20II.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 10 -- parsing II.pdf	Carnegie Mellon University
4	Parsing III	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%2011%20--%20parsing%20III.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 11 -- parsing III.pdf	Carnegie Mellon University
5	Parsing IV	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%2012%20--%20parsing%20IV.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 12 -- parsing IV.pdf	Carnegie Mellon University
6	Parsing V	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%2014%20--%20parsing%20V.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 14 -- parsing V.pdf	Carnegie Mellon University
7	Parsing VI	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%2015%20--%20parsing%20VI.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 15 -- parsing VI.pdf	Carnegie Mellon University
8	Structured Classification I	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%2016%20--%20classification%20I.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 16 -- classification I.pdf	Carnegie Mellon University
9	Structured Classification II	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%2017%20--%20classification%20II.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 17 -- classification II.pdf	Carnegie Mellon University
10	Algorithms for NLP: Introduction	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%201%20--%20introduction.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 1 -- introduction.pdf	Carnegie Mellon University
11	Machine Translation: Alignment I	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%2020%20--%20machine%20translation%20I.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 20 -- machine translation I.pdf	Carnegie Mellon University
12	Machine Translation: Alignment II	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%2021%20--%20machine%20translation%20II.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 21 -- machine translation II.pdf	Carnegie Mellon University
13	Machine Translation: Phrase-Based	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%2022%20--%20machine%20translation%20III.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 22 -- machine translation III.pdf	Carnegie Mellon University
14	Machine Translation: Syntactic	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%2023%20--%20machine%20translation%20IV.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 23 -- machine translation IV.pdf	Carnegie Mellon University
15	Language Modeling I	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%202%20--%20language%20models.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 2 -- language models.pdf	Carnegie Mellon University
16	Language Modeling II	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%203%20--%20language%20models%20II.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 3 -- language models II.pdf	Carnegie Mellon University
17	Language Modeling III	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%204%20--%20language%20models%20III.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 4 -- language models III.pdf	Carnegie Mellon University
18	Speech Recognition I	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%205%20--%20speech%20signal.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 5 -- speech signal.pdf	Carnegie Mellon University
19	Speech Recognition II	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%206%20--%20acoustic%20models.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 6 -- acoustic models.pdf	Carnegie Mellon University
20	Speech Recognition III, HMMs	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%207%20--%20speech%20inference.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 7 -- speech inference.pdf	Carnegie Mellon University
21	POS Tagging, NER, CRFs	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%208%20--%20parts%20of%20speech.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 8 -- parts of speech.pdf	Carnegie Mellon University
22	Parsing I	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FA17%2011-711%20lecture%209%20--%20parsing%20I.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FA17 11-711 lecture 9 -- parsing I.pdf	Carnegie Mellon University
23	Feature Structures and Unification Grammars	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/Feature%20structures%20and%20unification%20F17.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/Feature structures and unification F17.pdf	Carnegie Mellon University
24	Semantics and First-Order Predicate Calculus	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/FOPC-F17.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/FOPC-F17.pdf	Carnegie Mellon University
25	Lexical Semantics, Distributions, Predicate-Argument Structure, and Frame Semantic Parsing	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/Lexical%20Semantics%20and%20FSP.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/Lexical Semantics and FSP.pdf	Carnegie Mellon University
26	Morphology	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/morphology-F17.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/morphology-F17.pdf	Carnegie Mellon University
27	EM for Word Alignment	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation10_slides.pdf	1201	2017	Maria Ryskina	./11711fa17/recitation10_slides.pdf	Carnegie Mellon University
28	HMM Aligner Recitation	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation11_slides.pdf	1201	2017	Akshay Srivatsan	./11711fa17/recitation11_slides.pdf	Carnegie Mellon University
29	Algorithms for NLP: A Beginner’s Guide to Project 1	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation1_slides.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/recitation1_slides.pdf	Carnegie Mellon University
30	Algorithms for NLP: Recitation notes on Kneser-Ney	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation2_notes.pdf	1201	2017	Maria Ryskina	./11711fa17/recitation2_notes.pdf	Carnegie Mellon University
31	Algorithms for NLP: Implementation Tricks Slides	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation3_slides.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/recitation3_slides.pdf	Carnegie Mellon University
32	Hidden Markov Models Notes	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation4_notes.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/recitation4_notes.pdf	Carnegie Mellon University
33	Hidden Markov Models	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation4_slides.pdf	1201	2017	Taylor Berg-Kirkpatrick, Robert Frederking	./11711fa17/recitation4_slides.pdf	Carnegie Mellon University
34	Conditional Random Fields	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation5_slides.pdf	1201	2017	Maria Ryskina	./11711fa17/recitation5_slides.pdf	Carnegie Mellon University
35	PCFG	http://www.cs.cmu.edu/afs/cs/user/tbergkir/www/11711fa17/recitation6_slides.pdf	1201	2017	Akshay Srivatsan	./11711fa17/recitation6_slides.pdf	Carnegie Mellon University
