ID	Name	URL	Year	Author	Domain	Venue
0	Logic I	https://web.stanford.edu/class/cs221/2017/lectures/logic1.pdf	2017	Percy Liang	ai	Stanford
1	Games II	https://web.stanford.edu/class/cs221/2017/lectures/games2.pdf	2017	Percy Liang	ai	Stanford
2	Bayesian networks III	https://web.stanford.edu/class/cs221/2017/lectures/bayes3.pdf	2017	Percy Liang	ai	Stanford
3	MDPs II	https://web.stanford.edu/class/cs221/2017/lectures/mdp2.pdf	2017	Percy Liang	ai	Stanford
4	Learning Sklearn	https://web.stanford.edu/class/cs221/2017/lectures/section2.pdf	2017	Percy Liang	ai	Stanford
5	CSPs II	https://web.stanford.edu/class/cs221/2017/lectures/csp2.pdf	2017	Percy Liang	ai	Stanford
6	AlphaGo	https://web.stanford.edu/class/cs221/2017/lectures/section5.pdf	2017	Percy Liang	ai	Stanford
7	Bayesian networks I	https://web.stanford.edu/class/cs221/2017/lectures/bayes1.pdf	2017	Percy Liang	ai	Stanford
8	Machine learning I	https://web.stanford.edu/class/cs221/2017/lectures/learning1.pdf	2017	Percy Liang	ai	Stanford
9	Constraint Satisfaction Problems (CSPs)	https://web.stanford.edu/class/cs221/2017/lectures/section6.pdf	2017	Percy Liang	ai	Stanford
10	Games I	https://web.stanford.edu/class/cs221/2017/lectures/games1.pdf	2017	Percy Liang	ai	Stanford
11	Machine learning II	https://web.stanford.edu/class/cs221/2017/lectures/learning2.pdf	2017	Percy Liang	ai	Stanford
12	Machine learning III	https://web.stanford.edu/class/cs221/2017/lectures/learning3.pdf	2017	Percy Liang	ai	Stanford
13	Introduction to Machine Learning	https://web.stanford.edu/class/cs221/2017/lectures/section1.pdf	2017	Percy Liang	ai	Stanford
14	Logic III	https://web.stanford.edu/class/cs221/2017/lectures/logic3.pdf	2017	Percy Liang	ai	Stanford
15	Machine Learning	https://courseworks.columbia.edu/access/content/group/COMSW4701_002_2014_3/week6.pdf	2014	Ansaf Salleb-Aouissi	ai	Columbia
