Title	URL	Year	Author	Resource Type	Venue
Lecture 11: LoG Edge and Blob Finding	www.cse.psu.edu/~rtc12/CSE486/lecture11.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 19: Essential and Fundamental Matrices	www.cse.psu.edu/~rtc12/CSE486/lecture19.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 01: Intro to Computer Vision	www.cse.psu.edu/~rtc12/CSE486/lecture01.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 03: Linear Operators and Convolution	www.cse.psu.edu/~rtc12/CSE486/lecture03.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 29: Video Tracking: Mean-shift	www.cse.psu.edu/~rtc12/CSE486/lecture29.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 13: Camera Projection (Intrinsics)	www.cse.psu.edu/~rtc12/CSE486/lecture13.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 26: Color and Light	www.cse.psu.edu/~rtc12/CSE486/lecture26.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 28: Intro to Tracking	www.cse.psu.edu/~rtc12/CSE486/lecture28.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 17: Stabilization and Mosaicing	www.cse.psu.edu/~rtc12/CSE486/lecture17.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 15: Robust Estimation: RANSAC	www.cse.psu.edu/~rtc12/CSE486/lecture15.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 32: Object Recognition : PCA / Eigenfaces	www.cse.psu.edu/~rtc12/CSE486/lecture32.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 10: Image Pyramids	www.cse.psu.edu/~rtc12/CSE486/lecture10.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 21: Stereo Reconstruction	www.cse.psu.edu/~rtc12/CSE486/lecture21.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 31: Object Recognition : SIFT Keys	www.cse.psu.edu/~rtc12/CSE486/lecture31.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 12: Camera Projection (Extrinsics)	www.cse.psu.edu/~rtc12/CSE486/lecture12.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 14: Parameter Estimation; Image Warping	www.cse.psu.edu/~rtc12/CSE486/lecture14.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 16: Planar Homographies	www.cse.psu.edu/~rtc12/CSE486/lecture16.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 18: Generalized Stereo	www.cse.psu.edu/~rtc12/CSE486/lecture18.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 08: Introduction to Stereo	www.cse.psu.edu/~rtc12/CSE486/lecture08.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 05: Edge Detection	www.cse.psu.edu/~rtc12/CSE486/lecture05.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 06: Corner Detection	www.cse.psu.edu/~rtc12/CSE486/lecture06.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 25: Structure From Motion (SFM)	www.cse.psu.edu/~rtc12/CSE486/lecture25.pdf	2007	Robert Collins	lecture	Penn State University
Final Exam Study Guide	www.cse.psu.edu/~rtc12/CSE486/FinalExamStudyGuide.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 22: Camera Motion Field	www.cse.psu.edu/~rtc12/CSE486/lecture22.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 07: Template Matching	www.cse.psu.edu/~rtc12/CSE486/lecture07.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 30: Video Tracking: Lucas-Kanade	www.cse.psu.edu/~rtc12/CSE486/lecture30.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 24: Video Change Detection	www.cse.psu.edu/~rtc12/CSE486/lecture24.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 04: Smoothing	www.cse.psu.edu/~rtc12/CSE486/lecture04.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 27: Application: Skin Color	www.cse.psu.edu/~rtc12/CSE486/lecture27.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 02: Intensity Surfaces and Gradients	www.cse.psu.edu/~rtc12/CSE486/lecture02.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 20: The 8-point algorithm	www.cse.psu.edu/~rtc12/CSE486/lecture20.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 23: Optic Flow	www.cse.psu.edu/~rtc12/CSE486/lecture23.pdf	2007	Robert Collins	lecture	Penn State University
Lecture 09: Stereo Algorithms	www.cse.psu.edu/~rtc12/CSE486/lecture09.pdf	2007	Robert Collins	lecture	Penn State University
Handout 2: Image Structure	pages.cs.wisc.edu/~dyer/cs766/readings/edge-detection-cipolla.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Handout 3: Projection	pages.cs.wisc.edu/~dyer/cs766/readings/projection-cipolla.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Edge Detection	pages.cs.wisc.edu/~dyer/cs766/readings/edge-detection-huttenlocher.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Handout 4: Stereo Vision	pages.cs.wisc.edu/~dyer/cs766/readings/stereo-cipolla.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Image-Based Rendering and Modeling	pages.cs.wisc.edu/~dyer/cs766/slides/ibr/ibr-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Snakes	pages.cs.wisc.edu/~dyer/cs766/slides/snakes/Snakes-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Image Segmentation	pages.cs.wisc.edu/~dyer/cs766/slides/segmentation/segment-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Level Set Methods	pages.cs.wisc.edu/~dyer/cs766/slides/levelsets/levelsets-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Digital Image Formation	pages.cs.wisc.edu/~dyer/cs766/slides/image-formation/Image-form-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Perspective	pages.cs.wisc.edu/~dyer/cs766/slides/image-formation/perspective-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Normalized Cut Method for Image Segmentation	pages.cs.wisc.edu/~dyer/cs766/slides/ncut/ncut-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Volumetric Scene Reconstruction from Multiple Views	pages.cs.wisc.edu/~dyer/cs766/slides/voxel-coloring/voxel-coloring-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Binocular Stereo	pages.cs.wisc.edu/~dyer/cs766/slides/stereo/stereo-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Tracking using CONDENSATION: Conditional Density Propagation	pages.cs.wisc.edu/~dyer/cs766/slides/motion/condensation-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Layered Image Representation	pages.cs.wisc.edu/~dyer/cs766/slides/motion/layers-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Motion Estimation	pages.cs.wisc.edu/~dyer/cs766/slides/motion/motion-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Edge Detection	pages.cs.wisc.edu/~dyer/cs766/slides/edges/edges-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Recognizing and Learning Object Categories	pages.cs.wisc.edu/~dyer/cs766/slides/obj-recog/learning-recognition-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Object Recognition	pages.cs.wisc.edu/~dyer/cs766/slides/obj-recog/obj-recog-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Marr's Theory of Vision	pages.cs.wisc.edu/~dyer/cs766/slides/marr/marr-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Feature Detection and Matching	pages.cs.wisc.edu/~dyer/cs766/slides/matching/matching-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Appearance-Based Recognition	pages.cs.wisc.edu/~dyer/cs766/slides/eigenfaces/eigenfaces-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Texture	pages.cs.wisc.edu/~dyer/cs766/slides/texture/texture-2up.pdf	2006	Chuck Dyer	lecture	University of Wisconsin–Madison
Lecture 1: Correspondence and Features	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec01_correspondence.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 5: 3D Reconstruction	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec05_sfm.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 6: Epipolar Geometry	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec06_epipolar.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 7: Stereo	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec07_stereo.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 8: Stereo	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec08_stereo.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 12: Image Classification	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec12_classification.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 10: Recognition	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec10_recognition.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 16: Training CNNs	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec16_cnn.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 9: Stereo and MVS	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec09_stereo_mvs.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 4: 3D Reconstruction	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec04_twoviewreconstruction.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 14: Convolutional Neural Networks	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec14_cnn.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 13: Feature Learning	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec13_featurelearning.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 18: Review	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec18_review.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 2: SIFT	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec02_sift.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 15: Optimization in CNNs	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec15_cnn.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
Lecture 17: CNN Architectures	cseweb.ucsd.edu/~mkchandraker/classes/CSE152/Winter2019/Lectures/lec17_cnn.pdf	2019	Manmohan Chandraker	lecture	University of California, San Diego
