	ID	Instructor	Title	Topic	URL	Venue	Year
	1	Aaron Clauset	what are networks and how do we talk about them?	641	https://aaronclauset.github.io/courses/5352/csci5352_F21_L0.pdf	University of Colorado Boulder	2021
	2	Aaron Clauset	Spreading Processes with Complications	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L10.pdf	University of Colorado Boulder	2021
	3	Aaron Clauset	Modeling network growth	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L11b.pdf	University of Colorado Boulder	2021
	4	Aaron Clauset	Network data incompleteness and sampling	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L11.pdf	University of Colorado Boulder	2021
	5	Aaron Clauset	Rankings and importance in networks	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L12.pdf	University of Colorado Boulder	2021
	6	Aaron Clauset	Ethics in networks	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L13.pdf	University of Colorado Boulder	2021
	7	Aaron Clauset	What are networks?	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L1.pdf	University of Colorado Boulder	2021
	8	Aaron Clauset	Representing and describing networks	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L2.pdf	University of Colorado Boulder	2021
	9	Aaron Clauset	Random graph models	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L3.pdf	University of Colorado Boulder	2021
	10	Aaron Clauset	Random graphs with heterogeneous degrees	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L4.pdf	University of Colorado Boulder	2021
	12	Aaron Clauset	Predicting Missing Links in Networks	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L6.pdf	University of Colorado Boulder	2021
	13	Aaron Clauset	Community structure and mixing patterns	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L7.pdf	University of Colorado Boulder	2021
	14	Aaron Clauset	Detecting community structure	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L8.pdf	University of Colorado Boulder	2021
	15	Aaron Clauset	Spreading Processes on Networks	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_L9.pdf	University of Colorado Boulder	2021
	16	Aaron Clauset	Assignment1	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_PS1.pdf	University of Colorado Boulder	2021
	17	Aaron Clauset	Assignment2	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_PS2.pdf	University of Colorado Boulder	2021
	18	Aaron Clauset	Assignment3	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_PS3.pdf	University of Colorado Boulder	2021
	19	Aaron Clauset	Assignment4	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_PS4.pdf	University of Colorado Boulder	2021
	20	Aaron Clauset	Assignment5	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_PS5.pdf	University of Colorado Boulder	2021
	21	Aaron Clauset	syllabus	641	https://aaronclauset.github.io/courses/5352//csci5352_F21_syllabus_public.pdf	University of Colorado Boulder	2021
	35	Jelani Nelson	binomial	126	http://people.seas.harvard.edu/~cs125/fall16/binomial.pdf	Harvard University	2016
	36	Jelani Nelson	bst_rotate	171	http://people.seas.harvard.edu/~cs125/fall16/bst_rotate.pdf	Harvard University	2016
	38	Jelani Nelson	Finite Automata	171	http://people.seas.harvard.edu/~cs125/fall16/lec11.pdf	Harvard University	2016
	39	Jelani Nelson	Nondeterminism	171	http://people.seas.harvard.edu/~cs125/fall16/lec12.pdf	Harvard University	2016
	40	Jelani Nelson	Nondeterministic Polynomial Time	171	http://people.seas.harvard.edu/~cs125/fall16/lec13.pdf	Harvard University	2016
	42	Jelani Nelson	Proof of the Cook-Levin Theorem	171	http://people.seas.harvard.edu/~cs125/fall16/lec15.pdf	Harvard University	2016
	43	Jelani Nelson	Countability	171	http://people.seas.harvard.edu/~cs125/fall16/lec16.pdf	Harvard University	2016
	44	Jelani Nelson	The Halting Problem	171	http://people.seas.harvard.edu/~cs125/fall16/lec17.pdf	Harvard University	2016
	45	Jelani Nelson	Randomized Algorithms	171	http://people.seas.harvard.edu/~cs125/fall16/lec18.pdf	Harvard University	2016
	46	Jelani Nelson	The dictionary problem	171	http://people.seas.harvard.edu/~cs125/fall16/lec19.pdf	Harvard University	2016
	47	Jelani Nelson	Introduction	171	http://people.seas.harvard.edu/~cs125/fall16/lec1.pdf	Harvard University	2016
	48	Jelani Nelson	2SAT	171	http://people.seas.harvard.edu/~cs125/fall16/lec20.pdf	Harvard University	2016
	50	Jelani Nelson	probabilistically checkable proof	171	http://people.seas.harvard.edu/~cs125/fall16/lec22.pdf	Harvard University	2016
	51	Jelani Nelson	Communication with noise, and error-correcting codes	171	http://people.seas.harvard.edu/~cs125/fall16/lec23.pdf	Harvard University	2016
	52	Jelani Nelson	Greedy Algorithms	171	http://people.seas.harvard.edu/~cs125/fall16/lec2.pdf	Harvard University	2016
	55	Jelani Nelson	Memoization/Dynamic Programming	171	http://people.seas.harvard.edu/~cs125/fall16/lec5.pdf	Harvard University	2016
	56	Jelani Nelson	Minimum Spanning Tree	171	http://people.seas.harvard.edu/~cs125/fall16/lec6.pdf	Harvard University	2016
	57	Jelani Nelson	The Origin of Computer Science	171	http://people.seas.harvard.edu/~cs125/fall16/lec7.pdf	Harvard University	2016
	58	Jelani Nelson	shortest path algorithms	171	http://people.seas.harvard.edu/~cs125/fall16/lec8.pdf	Harvard University	2016
	59	Jelani Nelson	Linear programs	171	http://people.seas.harvard.edu/~cs125/fall16/lec9.pdf	Harvard University	2016
	65	Tim Roughgarden, Gregory Valiant	Lecture #15 and #16: The Fourier Transform and Convolution	184	https://web.stanford.edu/class/cs168/l15.pdf	Columbia University.	2021
	68	Tim Roughgarden, Gregory Valiant	Lecture #1: Introduction and Consistent Hashing	111	https://web.stanford.edu/class/cs168/p4.pdf	Columbia University.	2021
	76	Tim Roughgarden, Gregory Valiant	Lecture #9: The Singular Value Decomposition (SVD) and Low-Rank Matrix Approximations	341	https://web.stanford.edu/class/cs168/p9.pdf	Columbia University.	2021
	77	Sanjoy Dasgupta	Boosting	134	https://cseweb.ucsd.edu/~dasgupta/250B/boosting-handout.pdf	UCSD	2020
	78	Sanjoy Dasgupta	Convexity	127	https://cseweb.ucsd.edu/~dasgupta/250B/convexity-handout.pdf	UCSD	2020
	79	Sanjoy Dasgupta	Decision trees	551	https://cseweb.ucsd.edu/~dasgupta/250B/dtree-handout.pdf	UCSD	2020
	80	Sanjoy Dasgupta	Duality and convex programs	127	https://cseweb.ucsd.edu/~dasgupta/250B/duality-convex-handout.pdf	UCSD	2020
	81	Sanjoy Dasgupta	Informative projections	999	https://cseweb.ucsd.edu/~dasgupta/250B/informative-projections-handout.pdf	UCSD	2020
	82	Sanjoy Dasgupta	Kernel methods	521	https://cseweb.ucsd.edu/~dasgupta/250B/kernel-handout.pdf	UCSD	2020
	83	Sanjoy Dasgupta	The landscape of machine learning	134	https://cseweb.ucsd.edu/~dasgupta/250B/landscape-handout.pdf	UCSD	2020
	84	Sanjoy Dasgupta	Logistic regression	516	https://cseweb.ucsd.edu/~dasgupta/250B/logistic-regression-handout.pdf	UCSD	2020
	85	Sanjoy Dasgupta	Multiclass linear prediction	511	https://cseweb.ucsd.edu/~dasgupta/250B/multiclass-handout.pdf	UCSD	2020
	86	Sanjoy Dasgupta	Feedforward neural nets	711	https://cseweb.ucsd.edu/~dasgupta/250B/neural-nets-handout.pdf	UCSD	2020
	87	Sanjoy Dasgupta	Nearest neighbor classification	521	https://cseweb.ucsd.edu/~dasgupta/250B/nn-handout.pdf	UCSD	2020
	88	Sanjoy Dasgupta	A simple linear classifier	511	https://cseweb.ucsd.edu/~dasgupta/250B/perceptron-handout.pdf	UCSD	2020
	89	Sanjoy Dasgupta	Random forests	521	https://cseweb.ucsd.edu/~dasgupta/250B/random-forests-handout.pdf	UCSD	2020
	90	Sanjoy Dasgupta	Linear regression	516	https://cseweb.ucsd.edu/~dasgupta/250B/regression-handout.pdf	UCSD	2020
	91	Sanjoy Dasgupta	Singular value decomposition	311	https://cseweb.ucsd.edu/~dasgupta/250B/svd-handout.pdf	UCSD	2020
	92	Sanjoy Dasgupta	Support vector machines	311	https://cseweb.ucsd.edu/~dasgupta/250B/svm-handout.pdf	UCSD	2020
	93	Sanjoy Dasgupta	Unconstrained optimization	127	https://cseweb.ucsd.edu/~dasgupta/250B/unconstrained-optimization-handout.pdf	UCSD	2020
	94	Constantinos Daskalakis	Lecture 10: Hypothesis Testing	712	https://stellar.mit.edu/S/course/6/sp18/6.883/courseMaterial/topics/topic2/lectureNotes/6.883_-_lecture10b/6.883_-_lecture10b.pdf	MIT	2018
	95	Constantinos Daskalakis	Lecture 11: Adversarial Examples and Misclassification Attacks	746	https://stellar.mit.edu/S/course/6/sp18/6.883/courseMaterial/topics/topic2/lectureNotes/lecture_11/lecture_11.pdf	MIT	2018
	96	Constantinos Daskalakis	Lecture 12: Adversarial Examples and Misclassification Attacks II	746	https://stellar.mit.edu/S/course/6/sp18/6.883/courseMaterial/topics/topic2/lectureNotes/lecture_12/lecture_12.pdf	MIT	2018
	97	Constantinos Daskalakis	Lecture 13: Adversarially Robust Generalization	746	https://stellar.mit.edu/S/course/6/sp18/6.883/courseMaterial/topics/topic2/lectureNotes/lecture_13/lecture_13.pdf	MIT	2018
	98	Constantinos Daskalakis	Lecture 14: Data Poisoning and Differential Privacy	999	https://stellar.mit.edu/S/course/6/sp18/6.883/courseMaterial/topics/topic2/lectureNotes/lecture_14/lecture_14.pdf	MIT	2018
	99	Constantinos Daskalakis	Bridging Theory and Practice	711	https://stellar.mit.edu/S/course/6/sp18/6.883/courseMaterial/topics/topic2/lectureNotes/Lecture_1_-_Introduction_-_costis1/Lecture_1_-_Introduction_-_costis.pdf	MIT	2018
	100	Constantinos Daskalakis	Bridging Theory and Practice	711	https://stellar.mit.edu/S/course/6/sp18/6.883/courseMaterial/topics/topic2/lectureNotes/Lecture_1_-_Introduction_-_costis1/Lecture_1_-_Introduction_-_costis.pdf	MIT	2018
	101	Constantinos Daskalakis	Introduction	711	https://stellar.mit.edu/S/course/6/sp18/6.883/courseMaterial/topics/topic2/lectureNotes/lecture_1/lecture_1.pdf	MIT	2018
	102	Constantinos Daskalakis	Lecture 2: Overview of Continuous Optimization Methods	127	https://stellar.mit.edu/S/course/6/sp18/6.883/courseMaterial/topics/topic2/lectureNotes/lecture_2/lecture_2.pdf	MIT	2018
	103	Constantinos Daskalakis	Lecture 3: Generalization Theory and Rademacher Complexity	712	https://stellar.mit.edu/S/course/6/sp18/6.883/courseMaterial/topics/topic2/lectureNotes/lecture_3/lecture_3.pdf	MIT	2018
